Japanese|Romaji|English|Utility|Type
尽きる|tsukiru|be used up; be exhausted; be consumed; come to an end|7|
尽く|tsuku|(rare) be used up; be exhausted; be consumed; come to an end|7|
尽かす|tsukasu|use up|7|
尽く|kotogotoku|all; entirely; completely|7|
尽れる|sugareru|fade; wither; shrivel|7|
吹く|fuku|blow; breathe out; play (on a wind instrument); smelt; mint; emit; smoke; erupt; brag; talk big; sprout (as of buds etc.)|7|
吹かす|fukasu|smoke; puff|7|
是|ZE|right; righteousness in idioms:|7|
是|kore|pron. this|7|
姓|SEI|surname; family name|7|
姓|kabane|titles conferred by the emperor  in ancient Japan|7|
請う|kou|solicit; ask; request|7|
請ける|ukeru|undertake; take upon oneself|7|
請じる|SHOUJIRU|invite|7|
斉しい|hitoshii|equal; equivalent|7|
斉える|totonoeru|put in order; arrange; make ready|7|
斉|SEI|Qi (state in ancient China; 1046-221  BC)|7|
惜しい|oshii|regrettable; pitiful; precious; valuable; too good for  smth.|7|
惜しむ|oshimu|regret; deplore; value; prize; spare; grudge; be reluctant; be loath|7|
惜しがる|oshigaru|regret; deplore; value; prize; spare; grudge; be reluctant; be loath|7|
鮮やか|azayaka|bright; clear; vivid; brilliant|7|
鮮やか|azayakana|bright; clear; vivid; brilliant|7|
疎い|utoi|estranged; distant; unfamiliar with  smth.|7|
疎む|utomu|shun; neglect; estrange|7|
疎んじる|utonjiru|shun; neglect; estrange|7|
疎ましい|utomashii|disagreeable|7|
疎ら な|mabara na|sparse; scattered; sporadic|7|
疎ら な|mabarana na|sparse; scattered; sporadic|7|
疎ら な|mabarani na|sparse; scattered; sporadic|7|
疎か|orosoka|negligent; remiss; careless|7|
疎か|orosokana|negligent; remiss; careless|7|
疎か な|oroka na|trifling|7|
疎か な|orokana na|trifling|7|
疎か|oroka|to say nothing of...|7|
疎か|orokana|to say nothing of...|7|
疎|SO|estranged; alienated; sparse; scattered|7|
疎々しい|utoutoshii|disagreeable; unfriendly; indifferent; cold|7|
粗|ara|bony parts of a fish; offals; smb's  weak point|7|
粗い|arai|coarse; rough; rugged; large (as of meshes; stripes etc.)|7|
粗っぽい|arappoi|coarse; rough; rugged; large (as of meshes; stripes etc.)|7|
粗|SO|lit:  rough|7|
粗々|araara|roughly; in general|7|
双|SOU|both; pair of...|7|
騒ぐ|sawagu|clamor; make a noise; be agitated; bustle|7|
騒ぎ|sawagi|clamor; uproar; agitation|7|
騒がす|sawagasu|agitate; excite; disturb|7|
騒がせる|sawagaseru|agitate; excite; disturb|7|
騒がれる|sawagareru|be made much of|7|
騒がしい|sawagashii|noisy; boisterous|7|
騒々しい|SOUZOUSHII|noisy; boisterous|7|
騒々 する|zawazawa suru|rustle; buzz; get a chill  [up one's spine]|7|
騒々 と|zawazawa to|rustling|7|
騒めく|zawameku|be noisy; buzz; rustle|7|
騒つく|zawatsuku|be noisy; buzz; rustle|7|
騒く|zomeku|revel; be noisy|7|
騒く|someku|revel; be noisy|7|
憎む|nikumu|hate; detest; abhor|7|
憎しみ|nikushimi|hatred; enmity|7|
憎い|nikui|hateful; abominable; slang  splendid; cool|7|
憎らしい|nikurashii|hateful; repulsive|7|
憎々しい|nikunikushii|hateful; repulsive|7|
憎らしげ|nikurashige|maliciously; hatefully|7|
憎がる|nikugaru|hate|7|
憎み|nikumi|hatred|7|
贈る|okuru|present (a gift); bestow; confer; award|7|
贈|ZOU|(inscription on a gift)|7|
即する|SOKUSURU|be in close contact; conform to  smth., agree with  smth.|7|
即して|SOKUSHITE|in strict conformity with...|7|
即く|tsuku|ascend (to the throne)|7|
即ける|tsukeru|enthrone|7|
即ち|sunawachi|that is; namely; viz.; exactly; nothing but...; then; in this case|7|
俗|ZOKU|vulgar; low; coarse; common; popular; simple; secular; worldly; mundane|7|
俗っぽい|zokuppoi|vulgar; lowbrow|7|
駄|DA|horseload; pack; pack horse; horseload (unit of weight; 36  kan; 135  kg); unit of capacity|7|
駄々|DADA|bound  whim; caprice|7|
耐える に|taeru ni|withstand; resist; be proof against  smth.|7|
怠ける|namakeru|be lazy; be idle; neglect|7|
怠る|okotaru|neglect one's duties; be remiss; be off one's guard; get a little better (when ill)|7|
怠り|okotari|negligence; carelessness|7|
怠りなく|okotarinaku|diligently; carefully|7|
怠い|darui|sluggish; languid; lethargic|7|
怠け|namake|indolence; laziness|7|
替える|kaeru|exchange; replace; convert; barter|7|
替え|kae|exchange; replacement|7|
替え で|kae de|at; for; per|7|
替わる|kawaru|be replaced; take turns|7|
替わり|kawari|replacement; turn; shift|7|
替えっこ|kaekko|colloquial: [mutual]  exchange|7|
滞る|todokooru|stagnate; be left undone; be delayed; be retarded; fall into arrears; be overdue|7|
滞り|todokoori|stagnation; hindrance; hitch; arrearage|7|
袋|fukuro|sack; bag; pouch|7|
お袋|ofukuro|[my]  mom (formerly respectful; now colloquial)|7|
卓|TAKU|table; desk|7|
沢|sawa|marsh; swamp|7|
託ける|kakotsukeru|make excuses; plead; use  smth. as a pretext|7|
託つ|kakotsu|make excuses; plead; use  smth. as a pretext; complain; repine|7|
託ける|kotodukeru|send word; send  smb. a message; ask to hand (a letter etc.) to  smb.|7|
託け|kotoduke|[verbal]  message; word for  smb.|7|
託かる|kotodukaru|be asked to send word to  smb.|7|
託する|TAKUSURU|entrust  smb. with  smth.; make excuses|7|
諾|DAKU|consent|7|
諾する|DAKUSURU|say yes; consent|7|
諾々 と して|DAKUDAKU to shite|quite willingly|7|
諾う|ubenau|consent; agree|7|
脱ぐ|nugu|take off; undress|7|
脱げる|nugeru|come off; slip off (as of clothes or footwear)|7|
脱する|DASSURU|escape from  smth., extricate oneself from  smth.; leave; omit; drop; rise above  smth.|7|
淡い|awai|light  colored; pale; faint; light  flavored; fleeting; transitory|7|
淡々|TANTAN|light  colored; light  flavored; indifferent; unconcerned|7|
淡す|awasu|remove astringency from persimmons|7|
端|TAN|beginning in idioms:|7|
端|hashi|end; edge; extremity; tip; corner; scrap; fag end|7|
端|haji|end; edge; extremity; tip; corner; scrap; fag end|7|
端|hata|side; edge|7|
端|hana|beginning; outset; [protruded]  end; tip|7|
端|ha|edge; border|7|
端た|hashita|fractional part of a number; remainder; residual; odd sum|7|
端たない|hashitanai|vulgar; rude|7|
端くれ|hashikure|scrap; fag end|7|
端っくれ|hashikkure|scrap; fag end|7|
端なく|hashinaku|unexpectedly|7|
端々|hashibashi|odds and ends; parts|7|
端|tsuma|edge; end; archit. gable; clue|7|
弾|tama|bullet; shot; shell|7|
弾く|hiku|play (stringed or keyboard instrument)|7|
弾じる|DANJIRU|play (stringed or keyboard instrument)|7|
弾く|hajiku|fillip; flip; reject; repel|7|
弾き|hajiki|spring; slang  gun|7|
お弾き|ohajiki|marbles (game)|7|
弾ける|hajikeru|burst open; split open; spring off|7|
弾む|hazumu|spring back; rebound; be animated; be inspired; fork out (a big sum); breathe hard|7|
弾み|hazumi|spring; bound; recoil; momentum; impulse; impetus; stimulus; chance; circumstances|7|
弾み に|hazumi ni|in the moment of...|7|
恥|haji|shame; disgrace; humiliation|7|
恥 に なる|haji ni naru|shameful; dishonorable|7|
恥じる|hajiru|feel ashamed|7|
恥ずかしい|hazukashii|ashamed; shy|7|
恥じらう|hajirau|be shy; be bashful|7|
恥ずかしがる|hazukashigaru|be shy; be bashful|7|
恥ずべき|hazubeki|disgraceful; unbecoming|7|
恥ずかしからぬ|hazukashikaranu|worthy; decent; honorable|7|
致す|itasu|humble  do; bring about; cause; incur; send; forward; render (assistance), exert (oneself)|7|
どう致しまして|douitashimashite|you are welcome|7|
遅い|osoi|slow; tardy; late; delayed|7|
遅なわる|osonawaru|be late|7|
遅くとも|osokutomo|at the latest|7|
遅れる|okureru|be late; be delayed; lag behind|7|
遅らす|okurasu|retard; delay; defer|7|
遅々|CHICHI|slow; lagging|7|
逐う|ou|drive away; expel; pursue; chase|7|
徴|CHOU|sign; omen; symptom|7|
徴する|CHOUSURU|collect; charge (a fee); solicit (opinion etc.); judge by  smth., refer to  smth.|7|
徴|shirushi|efficacy; symptom; sign; indication|7|
徴す|shirusu|mark; inscribe|7|
眺める|nagameru|gaze; watch; look at; stare|7|
眺め|nagame|view; scene|7|
超える|koeru|excel; surpass; transcend; be over|7|
超す|kosu|excel; surpass; transcend; be over|7|
沈む|shizumu|sink; submerge; go to the bottom; set; go down (the sun; the moon); be downcast; feel depressed|7|
沈める|shizumeru|sink; send to the bottom; put under water|7|
珍しい|mezurashii|rare; unusual; novel; strange|7|
珍か|mezuraka|rare; unusual; novel; strange|7|
珍か|mezurakana|rare; unusual; novel; strange|7|
珍しく|mezurashiku|unusually; exceptionally|7|
珍しがる|mezurashigaru|find  smth. curious; be astonished|7|
珍|CHIN|rarity; marvel|7|
珍 な|CHIN na|rare; curious; marvellous|7|
帝|mikado|arch:  Emperor of Japan; Mikado|7|
締める|shimeru|tighten; tauten; fasten; tie up; economize; save; shut; close; lock; exercise rigid control over  smth.; rebuke; reprimand; squeeze; strangle; sum up; total (the figures)|7|
締まる|shimaru|be shut; be closed; be locked; be tight; be compact; be firm; be thrifty; be frugal; sober down; become steady|7|
締め|shime|ream of paper; summing up; (sign on an envelope); choking techniques (in judo)|7|
締めて|shimete|in all; all told|7|
締まり|shimari|tightness; firmness; steadiness; locking (of a door)|7|
泥|doro|mud; mire|7|
泥|DEI|mud; mire|7|
泥んこ|doronko|colloquial: mud; mire|7|
泥だらけ の|dorodarake no|muddy; covered with mud|7|
泥む|nazumu|adhere to  smth., be wedded to  smth.|7|
添う|sou|go along with  smb., accompany; marry; suit; satisfy; meet (expectations etc.)|7|
添える|soeru|add to; append; attach; garnish|7|
添わる|sowaru|be added to|7|
添わす|sowasu|mate; marry|7|
殿|shingari|rear; rearguard; tail end|7|
殿|tono|[feudal]  lord; palace|7|
殿|dono|[feudal]  lord; palace|7|
塗る|nuru|paint; coat; lay on; spread on; plaster; smear; daub; pin (a crime on smb.)|7|
塗り|nuri|painting; coating; varnishing; lacquering; lacquerware|7|
塗れる|mamireru|be smeared; be covered (with blood; mud etc.)|7|
塗れる|mabureru|be smeared; be covered (with blood; mud etc.)|7|
塗す|mabusu|smear; cover; sprinkle|7|
渡る|wataru|vt  cross over; go across; ferry; wade; ford; vt  make one's way (in the world); walk (through life); migrate (birds etc.); be brought from abroad; be transferred; change hands|7|
渡り|watari|passage; transit; crossing; ferry; migration (of birds etc.); negotiations; mutual arrangements; gang  plank; gang  board; length; diameter|7|
渡す|watasu|carry across (a river etc.), ferry over; span (a bridge), lay across; hand over; deliver; transfer; give|7|
渡し|watashi|ferry; ferryboat; transfer; delivery|7|
途|TO|way; road|7|
途|michi|way; road|7|
奴|yatsu|informal:  guy; chap; fellow; rude  he; that guy; thing; object; stuff|7|
奴|yakko|manservant; valet; informal:  guy; chap; fellow; informal:  he|7|
怒る|okoru|get angry; be angry|7|
怒る|ikaru|lit:  get enraged|7|
怒り|ikari|anger; wrath|7|
怒らす|ikarasu|make angry; irritate|7|
怒りっぽい|okorippoi|touchy; irascible|7|
倒れる|taoreru|fall over; topple; tumble; collapse; fail; go to ruin; go bankrupt; fall senseless; succumb; fall dead; perish; die; have a bad debt|7|
倒す|taosu|fell; bring down; throw to the ground; defeat; overthrow; ruin; kill (one's enemy); fail to pay; bilk|7|
倒れ|taore|bad debt|7|
倒ける|kokeru|fall down; tumble down|7|
倒さま|sakasama|upside down; inside out|7|
倒さま|sakasa|upside down; inside out|7|
凍る|kooru|freeze; congeal|7|
凍てる|iteru|lit: freeze; congeal|7|
凍みる|shimiru|lit: freeze; congeal|7|
凍える|kogoeru|be frozen; be chilled|7|
凍らす|koorasu|freeze; refrigerate|7|
凍る|kogoru|congeal; freeze|7|
棟|mune|ridge of a roof; ridgepole; back of a sword|7|
盗む|nusumu|steal; pilfer; rob|7|
盗み|nusumi|theft|7|
到る|itaru|reach; arrive; attain|7|
踏む|fumu|step on  smth., tread; trample; complete; go through (formalities etc.); informal:  appraise; estimate; rhyme|7|
踏まえる|fumaeru|stand on  smth.; figurative:  be based on  smth.|7|
逃げる|nigeru|escape; run away; flee; shirk; evade|7|
逃げ|nige|evasion; escape|7|
逃がす|nigasu|set free; let go; let escape; miss|7|
逃す|nogasu|set free; let go; let escape; miss|7|
逃れる|nogareru|escape; run away; get clear of  smth.; shirk; evade|7|
透く|suku|be transparent; be seen through; be thin; be sparse; have gaps|7|
透き|suki|gap; interval|7|
透かす|sukasu|leave a gap; make sparse; make transparent; peer; look through  smth.; slang  break wind noiselessly|7|
透かさず|sukasazu|without a moment's delay|7|
透かし|sukashi|gaps; openwork; watermark|7|
透ける|sukeru|be transparent|7|
透る|tooru|penetrate; pierce; be transparent|7|
透す|toosu|be pervious to (light etc.)|7|
闘う|tatakau|fight; struggle|7|
胴|DOU|trunk; torso; tech. main body; frame; drum; cylinder; body armor; cuirass|7|
突く|tsuku|strike; thrust; stab; gore; push; poke; attack; assail; be pungent; stimulate (the senses); disdain (wind; rain; danger)|7|
突つく|tsutsuku|poke; peck; instigate; incite; criticize; find fault with  smb.|7|
豚|buta|pig; swine; hog|7|
曇る|kumoru|cloud up; be cloudy; fog up; get dim; become blurred; be gloomy|7|
曇り|kumori|cloudy weather; cloudiness; dimness; tarnish; shadow; figurative:  stain; slur; suspicion; gloom|7|
曇らす|kumorasu|cloud up; dim; blur|7|
鈍|DON|dull; stupid; slow  witted|7|
鈍い|nibui|dull; blunt; sluggish; slow  witted; dim (light); thick (sound)|7|
鈍る|niburu|become dull; weaken|7|
鈍る|namaru|become dull; weaken|7|
鈍ら|namakura|dull blade; figurative:  useless fellow; good  for  nothing|7|
鈍す|namasu|anneal|7|
鈍い|noroi|slow; tardy; sluggish; dull  witted; flirtatious; spoony|7|
鈍々|noronoro|slowly; sluggishly|7|
鈍々 した|noronoro shita|sluggish|7|
鈍くさ|norokusa|slowly; sluggishly|7|
鈍くさ した|norokusa shita|sluggish|7|
軟らかい|yawarakai|soft; tender; gentle; meek; mild|7|
軟らか|yawaraka|soft; tender; gentle; meek; mild|7|
軟らか|yawarakana|soft; tender; gentle; meek; mild|7|
如く|gotoku|like; as if; as though|7|
如し|gotoshi|lit:  be like; be as if; seem|7|
如き|gotoki|lit:  be like; be as if; seem|7|
如く|shiku|lit:  be like; be equal to  smth.|7|
如かず|shikazu|lit:  be worse; be nothing compared to  smth.|7|
悩む|nayamu|suffer; be troubled; be distressed|7|
悩み|nayami|troubles; worries; distress; suffering|7|
悩ます|nayamasu|afflict; torment; trouble; annoy|7|
悩ましい|nayamashii|distressful; painful|7|
濃い|koi|thick; dense; concentrated; strong (tea etc.); deep; dark  colored; saturated; close; intimate|7|
濃やか|komayaka|small; tiny; detailed; deep (color); warm (feeling)|7|
廃れる|sutareru|become outmoded; go out of use|7|
廃る|sutaru|become outmoded; go out of use|7|
廃り|sutari|uselessness; waste|7|
廃する|HAISURU|abolish; discard; repeal; annul; discontinue; give up; depose; dethrone|7|
杯|sakazuki|sake cup; wine glass; goblet|7|
杯|HAI|sake cup; wine glass; goblet|7|
杯|tsuki|arch:  bowl; basin|7|
泊まる|tomaru|stay overnight; stay at anchor|7|
泊まり|tomari|stopover; stay; anchorage; night duty|7|
泊める|tomeru|lodge; give shelter; accommodate|7|
薄い|usui|thin; weak; watery; light; pale; sparse|7|
薄める|usumeru|thin; lighten; weaken; dilute|7|
薄まる|usumaru|get thin (dilute; watery; weak)|7|
薄らぐ|usuragu|thin out; fade; grow pale; abate; lessen; decline|7|
薄れる|usureru|thin out; fade; grow pale; abate; lessen; decline|7|
薄っぺら|usuppera|very thin; superficial; shallow; frivolous; flimsy|7|
薄っぺら|usupperana|very thin; superficial; shallow; frivolous; flimsy|7|
薄々|usuusu|slightly; a little; dimly; hazily|7|
薄|susuki|eulalia; miscanthus reed; = Miscanthus sinensis|7|
爆ぜる|hazeru|burst open; pop; split|7|
肌|hada|skin; body; grain; texture (of wood); disposition; temperament; turn of mind|7|
肌|hadae|skin; body; grain; texture (of wood); disposition; temperament; turn of mind|7|
髪|kami|hair (of the head)|7|
罰|BATSU|punishment; penalty|7|
罰|BACHI|punishment; penalty|7|
罰する|BASSURU|punish|7|
抜く|nuku|pull out; draw out; extract; pick out; make selections; quote; remove; take out; skip; omit; excel; surpass; outrun; outstrip; pierce; shoot through|7|
抜き|nuki|omission|7|
抜き で|nuki de|except; without|7|
抜ける|nukeru|fall out; slip out; come out; be left out; be missing; be gone; be got rid of; leave; quit; withdraw; escape; pass through|7|
抜かす|nukasu|omit; skip; leave out; rude  have the  cheek to say|7|
抜かる|nukaru|make a slip; make a blunder|7|
抜かり|nukari|slip; blunder; negligence|7|
伴う に|tomonau ni|accompany; follow; go hand in hand with  smth.|7|
伴う を|tomonau wo|entail; involve; bring with; be accompanied with  smb. or smth.|7|
範|HAN|model; pattern; example|7|
卑しい|iyashii|lowly; humble; low  born; inferior; mean; base; ignoble; vulgar; greedy; gluttonous|7|
卑しむ|iyashimu|despise; disdain|7|
卑しめる|iyashimeru|despise; disdain|7|
彼|kare|he; col. boyfriend; lover|7|
彼ら|karera|they|7|
彼の|kano|lit:  that; this|7|
彼の|ano|that (demonstrative)|7|
彼|are|that (pronoun)|7|
疲れる|tsukareru|get tired; grow weary|7|
疲れ|tsukare|fatigue; exhaustion|7|
疲らす|tsukarasu|tire; fatigue; exhaust|7|
被る|kaburu|put on the head; cover the head; be covered with (water; dust etc.); take (the blame); photo  be fogged|7|
被る|koumuru|undergo; sustain; get; be subjected to  smth.|7|
被せる|kabuseru|cover with  smth., put  smth. on; pour; throw; dash (water) on; shift (responsibility on smb.), pin (a crime on smb.)|7|
被さる|kabusaru|get covered; overlap; hang over (another thing)|7|
被り|kaburi|pullover top (shirt; sweater); protective covering; photo  fog|7|
被う|oou|cover; veil; overlap; conceal|7|
被く|kazuku|lit:  don; put on; wear|7|
被ける|kazukeru|put the blame on  smb.; use  smth. as a pretext|7|
被|fusuma|quilt|7|
避ける|sakeru|avoid; evade; shirk|7|
避ける|yokeru|avoid; shun; avert; ward off|7|
尾|o|tail|7|
微か|kasuka|faint; dim; weak; vague; haze; indistinct; scanty; slight|7|
微|BI|minutest details in idioms:|7|
微々|BIBI|slight; small; insignificant|7|
怖い|kowai|scary; fearful; frightening|7|
怖い が|kowai ga|be afraid of  smth. or smb.|7|
怖がる|kowagaru|fear; be afraid|7|
怖がり|kowagari|timidity; cowardice; coward|7|
怖がらす|kowagarasu|frighten; terrorize|7|
怖じる|ojiru|fear; be frightened|7|
怖じける|ojikeru|fear; be frightened|7|
怖れる|osoreru|fear; be frightened|7|
怖々|ozuozu|timidly; gingerly|7|
怖々|ojioji|timidly; gingerly|7|
怖々|kowagowa|timidly; gingerly|7|
敷く|shiku|lay; spread; cover; pave; lay (a railroad); promulgate (a law)|7|
敷き|shiki|foundation; stand; deposit money|7|
普く|amaneku|widely; universally; everywhere; all over|7|
浮く|uku|float; rise to the surface; be cheered up; feel (one's tooth) loose; be set on edge; be left over; be saved|7|
浮いた|uita|cheerful; buoyant; jolly; light; frivolous|7|
浮き|uki|float; cork; buoy; lifebuoy|7|
浮かれる|ukareru|be in high spirits; go on a spree; be carried away by  smth.|7|
浮かぶ|ukabu|float; rise to the surface; appear; come across one's mind; rest in peace|7|
浮かべる|ukaberu|float; set afloat; express; show (tears; smile etc.); call to mind|7|
浮かす|ukasu|float; set afloat; express; show (tears; smile etc.); call to mind|7|
浮々|ukiuki|cheerfully; buoyantly|7|
符|FU|sign; mark; charm; amulet; tally; check|7|
舞|mai|dance; dancing|7|
舞う|mau|dance|7|
柄|gara|design; pattern (on cloth); build (of a person); character; nature|7|
柄 に ない|gara ni nai|out of one's way|7|
柄|e|handl; crank; grip; shaft|7|
柄|tsuka|hilt; handle (of a sword etc.)|7|
壁|kabe|wall; partition; barrier|7|
崩れる|kuzureru|crumble; collapse; break; cave in; get out of shape; get worse; drop; decline; slump; sag; be changeable (money); fester; ulcerate|7|
崩す|kuzusu|destroy; demolish; pull down; put in disorder; simplify (the shape of a kanji); break; change (money); cut (the price)|7|
崩じる|HOUJIRU|pass away; demise (of an emperor)|7|
邦|kuni|[home]  country|7|
飽きる|akiru|be fed up; have enough; lose interest|7|
飽く|aku|lit: be fed up; have enough; lose interest|7|
飽くまで|akumade|persistently; to the utmost|7|
飽かず|akazu|insatiably; without getting bored|7|
飽かす|akasu|satiate; surfeit; tire; weary|7|
飽きっぽい|akippoi|fickle; capricious; easily satiated|7|
坊さN|BOUSAN|Buddh. monk; priest; bonze|7|
坊や|bouya|boy; little boy; sonny boy|7|
坊ちゃん|botchan|boy; little boy; sonny boy|7|
忙しい|isogashii|busy; occupied; engaged|7|
忙しい|sewashii|obsolete: busy; occupied; engaged|7|
忙しない|sewashinai|restless; fidgety|7|
房|fusa|cluster; bunch; fringe; tassel; tuft; lock (of hair)|7|
房々|fusafusa|tufty; fringy; bushy; in clusters; in bunches|7|
僕|BOKU|I; me (pronoun used by men)|7|
僕|shimobe|obsolete:  manservant|7|
僕|yatsugare|humble  I; my unworthy self|7|
又|mata|also; too; as well; again; once more; repeatedly; and; besides; moreover; furthermore; and; in turn; on the other hand|7|
又 わ|mata wa|or; either|7|
又 の|mata no|another; one more|7|
又しても|matashitemo|again|7|
又もや|matamoya|again|7|
又々|matamata|again and again|7|
妙|MYOU|something strange; strangeness; miracle; mystery; wonder; secrets of  smth., adroitness; skill; knack|7|
妙 な|MYOU na|strange; queer; odd; curious; miraculous|7|
妙ちきりN|MYOUCHIKIRIN|informal:  queer; odd; weird|7|
妙なる|taenaru|marvelous; charming; delicate; exquisite; excellent; superb|7|
眠る|nemuru|sleep; pass away; die|7|
眠い|nemui|sleepy; drowsy|7|
眠たい|nemutai|sleepy; drowsy|7|
娘|musume|daughter; girl|7|
娘|ko|girl|7|
滅びる|horobiru|perish; go to ruin|7|
滅ぶ|horobu|lit: perish; go to ruin|7|
滅ぼす|horobosu|destroy; ruin|7|
滅する|MESSURU|> lit:; die; perish; destroy; go out; disappear; extinguish|7|
滅|METSU|OFF (label on a switch)|7|
免じる|MENJIRU|exempt; release; dismiss|7|
に免じて|NI MENJITE|out of respect for...|7|
免れる|manukareru|avoid; escape; be exempted from  smth.|7|
免れる|manugareru|avoid; escape; be exempted from  smth.|7|
免す|yurusu|exempt; exonerate; release|7|
網|ami|net; netting|7|
黙る|damaru|be silent; say nothing; shut one's mouth|7|
黙り|danmari|silence; taciturnity; reticence; theater  dumb show; pantomime|7|
黙りこくる|damarikokuru|keep mum; shut up like a clam|7|
黙す|modasu|say nothing; ignore; leave as it is|7|
黙する|MOKUSURU|lit:  be silent|7|
黙々 と|MOKUMOKU to|silently|7|
戻す|modosu|return; give back; send back; turn back; put back; restore; reject; dismiss; turn down; throw up; vomit|7|
戻る|modoru|return; go back; turn back; be sent back; be restored; recede; move backward|7|
戻り|modori|return; coming back; reaction; recovery; restitution|7|
唯|tada|only; just; solely; merely|7|
唯々|tadatada|only; just; solely; merely|7|
唯さえ|tadasae|enough already; [in trouble]  as it is; to make matters worse|7|
憂える|ureeru|grieve; lament; feel sorrow; worry; be anxious|7|
憂う|ureu|grieve; lament; feel sorrow; worry; be anxious|7|
憂い|urei|grief; sorrow; sadness; anxiety; concern|7|
憂え|uree|grief; sorrow; sadness; anxiety; concern|7|
憂い|ui|sad; gloomy; unhappy|7|
憂さ|usa|gloom; melancholy|7|
憂き|uki|lit:  grief; sorrow|7|
誘う|sasou|invite; ask; call for  smb.; induce; provoke; cause; tempt; seduce; allure; entice|7|
誘う|izanau|eleg:; invite; ask; call for  smb.; induce; provoke; cause; tempt; seduce; allure; entice|7|
誘い|sasoi|invitation; temptation; enticement|7|
誘く|obiku|decoy; lure; allure; entice|7|
与える|ataeru|give; present; grant; bestow; award; cause (pain); inflict (damage); set (a problem), impose (a task)|7|
与る|azukaru|take part in  smth.; receive (an invitation)|7|
与する|kumisuru|participate in  smth.; be implicated in  smth.; side with  smb.|7|
踊る|odoru|dance|7|
踊り|odori|dance; dancing|7|
頼む|tanomu|ask for  smth., request; entrust; commit; charge; employ; hire; call in; rely on  smb., depend upon  smb.|7|
頼み|tanomi|request; favor; reliance; dependence|7|
頼もしい|tanomoshii|trustworthy; reliable; promising; hopeful|7|
頼る|tayoru|rely on  smb., depend on  smb., trust|7|
頼り|tayori|reliance; support|7|
頼りない|tayorinai|helpless; forlorn; unreliable; vague|7|
離す|hanasu|separate; part; divide; detach; sever; let go; keep apart; isolate; estrange|7|
離れる|hanareru|separate; fall apart; digress; leave; quit; become estranged; be (a long way or time) away|7|
離れて|hanarete|away; apart; aside; at a distance; separately; independently from  smth.|7|
離れた|hanareta|separated; isolated; distant|7|
離|RI|rd trigram in the Book of Change: south; fire|7|
了する|RYOUSURU|> lit:; finish; complete; understand|7|
涼しい|suzushii|cool; refreshing|7|
涼やか|suzuyaka|cool; refreshing|7|
涼やか|suzuyakana|cool; refreshing|7|
涼む|suzumu|cool oneself; enjoy the evening cool|7|
涼|RYOU|lit:  the cool|7|
隣り の|tonari no|neighboring; adjacent; next door|7|
隣る|tonaru|lit:  adjoin; neighbor|7|
恋|koi|love|7|
恋 [を] する|koi [wo] suru|love; be in love|7|
恋う|kou|love; be in love|7|
恋しい|koishii|beloved; dear; darling|7|
恋しがる|koishigaru|yearn for  smb., miss|7|
恋々れN と する|RENREN to suru|be strongly attached to  smb. or smth.|7|
腕|ude|arm; figurative:  skill; ability|7|
腕|kaina|lit:  arm|7|
握る|nigiru|grip; hold  [in hand]; seize; take; obtain|8|
握り|nigiri|handful; handle|8|
握らせる|nigiraseru|slip (money) to  smb., tip; bribe|8|
お握り|onigiri|hand  rolled rice ball|8|
宛てる|ateru|address (a letter etc.); use (a kanji) phonetically|8|
宛てがう|ategau|apply; put; hold; give; supply; allow; allot; assign; allocate; choose (a wife or husband)|8|
宛ら|sanagara|lit:  just like; just as; as if|8|
宛も|atakamo|lit:  just like; just as; as if|8|
宛も|zutsu|lit:  just like; just as; as if|8|
闇|yami|darkness; disorder; chaos; black market|8|
闇々 と|yamiyami to|suddenly and easily; without  resistance (as of a murder etc.)|8|
依る|yoru|depend on  smth.; have recourse to  smth.|8|
依って に|yotte ni|on the base of; due to; depending on|8|
依って|yotte|conj. therefore|8|
威す|odosu|threaten; menace|8|
威し|odoshi|threat; menace|8|
威|I|dignity; influence; authority; power|8|
慰める|nagusameru|console; comfort; amuse; cheer up|8|
慰め|nagusame|consolation; comfort|8|
慰む|nagusamu|be amused; be diverted; make a plaything of  smb.; seduce; dishonor|8|
慰み|nagusami|amusement; pleasure; fun|8|
慰する|ISURU|lit:  console; comfort|8|
為 の|tame no|for the sake of; so that; because of; as a result of|8|
為|tame|sake; benefit; advantage; profit|8|
為 に なる|tame ni naru|benefit; be helpful; do good|8|
為る|naru|become; turn into; grow; get|8|
為す|nasu|do; perform; carry out|8|
為さる|nasaru|polite  do|8|
為る|suru|do|8|
畏まる|kashikomaru|obey respectfully|8|
畏まりました|kashikomarimashita|Certainly; [Sir] !|8|
畏くも|kashikokumo|graciously|8|
畏れる|osoreru|fear; be afraid|8|
稲|ine|rice plant; = Oryza sativa|8|
浦|ura|inlet; small bay; beach; seacoast|8|
炎|honoo|flame; blaze|8|
炎|homura|flame; blaze|8|
煙|kemuri|smoke|8|
煙|kemu|smoke|8|
煙る|kemuru|to smoke|8|
煙い|kemui|smoky|8|
煙たい|kemutai|smoky; feeling awkward|8|
煙たがる|kemutagaru|be sensitive to smoke; feel awkward|8|
縁|EN|affinity; relation; ties; acquaintance; fate; destiny; engawa; veranda|8|
縁|enishi|obsolete:; affinity; relation; ties; acquaintance; fate; destiny; engawa; veranda|8|
縁|yukari|affinity; acquaintance|8|
縁|heri|edge; brink; verge; brim; border; hem; fringe; rim; margin|8|
