word|reading|russian translation|english translation|serbian translation|russian mnemonic|english mnemonic|serbian mnemonic|japanese menmonic
一|いち||один|one|један|одна горизонтальная линия — это просто число один|one horizontal line — it’s simply the number one|једна хоризонтална линија — то је број један|一|の横線、それは「一」
一|いち||один|one|један|Один(一) прямой путь, одна линия|One(一) straight path, one line|Један(一) прави пут, једна линија|一(一)の線は、すべての始まり
取る|とる|耳, 又|брать, забирать, получать|to take, grab, acquire|узети, добити|Победитель рукой (又) берёт ухо (耳) поверженного врага как доказательство.|A hand (又) takes an ear (耳) from the defeated enemy as proof.|Рука (又) узима уво (耳) пораженог непријатеља као доказ.|手 (又) で倒れた敵の耳 (耳) を証拠として取る。
矢|や|大, 丶|стрела|arrow|стрела|Большой человек с раскинутыми руками (大) — лёгкая мишень, получает стрелу (丶) в голову.|A big person with outstretched arms (大) makes an easy target and gets an arrow (丶) to the head.|Велика особа са раширеним рукама (大) је лака мета и добија стрелу (丶) у главу.|両手を広げた大きな人 (大) は目立ち、頭に矢 (丶) が刺さる。
知る, 知らせ|しる, しらせ|矢, 口|знать, извещение|to know, notice, information|знати, обавештење|Знание глубоко и полно. Слова летят, как стрелы — быстро и точно.|Knowledge is deep and complete. Words fly fast like arrows, straight to the point.|Знање је дубоко и целосно. Речи лете као стреле — брзо и прецизно.|深く確かな知識があれば、言葉 (口) は矢 (矢) のように鋭く、まっすぐ飛ぶ。
或いは, 或る|あるいは, ある|口, 一, 戈|или, возможно, некий|or, perhaps, possibly, a certain|или, можда, неки|Некий участок огорожен (口). Один (一) предмет охраняется с алебардой (戈) — это нечто определённое.|Some area is fenced (口). One (一) specific object is guarded with a halberd (戈).|Једна област је ограђена (口). Један (一) одређени предмет чува се алебардом (戈).|区画 (口) に一つ (一) の物があり、それを戈 (戈) で守っている。それが或いは。
惑う, 惑い, 惑わす|まどう, まどい, まどわす|或, 心|соблазн, заблуждение, недоумение|temptation, delusion, perplexity|искушење, заблуда, недоумица|Иногда так хочется поверить, что именно эта (或) душа (心) — особенная. Но потом иллюзия рушится, и мы в недоумении — что мы в ней нашли?|Sometimes, there's a strong temptation to believe that a particular (或) soul (心) is special. But when the delusion fades, we're left perplexed, wondering what we ever saw in it.|Понекад је велико искушење поверовати да је та (或) душа (心) посебна. Када заблуда нестане, остаје питање — шта смо у њој уопште видели?|特別な (或) 心 (心) だと信じたくなる時がある。でも幻想が消えると、何を見ていたのかと戸惑う。
同じ|おなじ|冂, 口, 一|одинаковый|same, identical|исти, једнак|Когда рот (口) накрыт перевёрнутой коробкой (冂), звук приглушён, и каждое слово звучит как одно (一) и то же.|When the mouth (口) is covered with an upside-down box (冂), the sound is muffled and every word sounds like one (一) and the same.|Када је уста (口) прекривена обрнутом кутијом (冂), звук је пригушен и све речи звуче као једна (一) иста.|口 (口) を逆さの箱 (冂) で覆うと、音がこもり、すべて同じ (一) に聞こえる。
感じ|かんじ|戈, 口, 心, 咸|чувство, ощущение|feeling, sensation|осећај, осећање|Одно(一) слово из рта(口) может ранить сердце (心), как алебарда (戈), если задевает настоящие чувства.|A single(一) word from a mouth(口) can cut the heart (心) like a halberd (戈) when it wounds true feelings.|Једна реч (口) може да пресече срце (心) као алабарда (戈), ако повреди истинска осећања.|たった一言 (口) が本当の感情を傷つけると、心 (心) に戈 (戈) のように刺さる
処, 処する|ところ, しょする|几, 夂|место, обращаться, справляться|place, to deal with, manage|место, носити се са, поступати|Низкий столик (几) медленно скользит (夂) — нужно с этим что-то сделать, пока не ушёл слишком далеко.|A low table (几) slowly slides out of place (夂)—there’s a need to deal with it before it goes too far.|Ниски сто (几) лагано клизи (夂) — мора се нешто предузети пре него што оде предалеко.|低い机 (几) がゆっくりとずれていく (夂)、その前に対処しなければならな
此処|ここ|此, 処|здесь, это место|here, this place|овде, ово место|Если ты не можешь идти дальше (止), остаётся только сесть (匕) прямо здесь, в этом месте (処), и заняться делом.|If you can’t move on (止), you might as well sit (匕) right here, in this place (処), and deal with what’s in front of you.
釆||米, 丿|разделение, различие, отделение|separation, distinction, sorting|раздвајање, разликовање|Растение риса с пометкой на верхушке — зёрна готовы к обмолоту и разделению.|A rice plant with a marked grain top—ready for threshing, sorting, and separation.|Биљка пиринча са обележеним врхом — спремна за вршидбу и раздвајање.|上部に印をつけた稲が、脱穀と選別の準備ができていることを示す。
必|ひつ|心, 丿|обязательно, неизбежно|surely, certainly, inevitably|сигурно, нужно, неизбежно|Перечёркнутое сердце означает неизбежность смерти.|A stroke pierces the heart means certainty of death. Also 'cross my heart' implies certainty.|Удар пробија срце (⺗) — нема повратка, оно што је овако дубоко погођено, мора да се деси.|心 (⺗) を貫く一撃があれば、それは必ず起こる。
一番|いちばん|一, 番 (釆, 田)|первый, самый, номер один|number one, most, best, first|први, највише, најбољи|В круге очередей (番) первым (一) идёт тот, кто важнее всех — он номер один.|In the cycle of turns (番), the one (一) who goes first holds the most prized place — number one.|У кругу смена (番), први (一) ко крене — најважнији, он је број један.|番 (番) の順番の中で、一 (一) 番目に立つ者が一番大事。
要る, 要, 要 する|いる, かなめ, よう, よう する|西, 女|нужный, суть, ключ, требовать|necessary, essence, key, require|потребан, суштина, кључно, тражити|Бутылка и женщина.|Bottle and woman.|Флаша и жена.|瓶と女。
必要|ひつよう|必, 要|необходимость|necessity, essential|неопходност|Обязательно (必) нужно (要).|Certainly (必) needed (要).|Сигурно (必) неопходно (要).|必ず (必) 必要な (要) もの。
一, 二, 三|いち, に, さん|一|один, два, три|one, two, three|један, два, три|Кандзи один, два, три буквально выглядят как 1, 2 и 3 линии.|The kanji for one, two, and three are literally just 1, 2, and 3 lines.|Канџи за један, два и три су дословно 1, 2 и 3 линије.|一 (1), 二 (2), 三 (3) はそのままの線の数。
先, 先ず, 先んじる, 先|さき, まず, さきんじる, せん|儿, ⺿ (arrow-like)|впереди, сначала, предшествовать|ahead, first, to go before|испред, прво, претходити|Кто-то собирался получить стрелу (矢), но человек с большими ногами (儿) шагнул вперёд и получил её первым.|A person was about to get the arrow (矢), but someone with big legs (儿) stepped forward and took it first.|Једна особа је требало да добије стрелу (矢), али неко са великим ногама (儿) искорачи и прими је први.|矢 (や) を受け取ろうとした人がいたが、大きな足 (儿) を持つ者が先に出て、矢先を受けた。
士|し|一, 土|воин, самурай, джентльмен|warrior, samurai, gentleman|ратник, самурај|Воин с сильными руками, расставленными шире, чем земля (土), на которой он стоит.|A warrior stands with arms stretched wider than the ground (土) he stands on.|Ратник стоји са рукама ширим од тла (土) на ком стоји.|上の線が広く、地面 (土) よりも大きく構えている、それが士。
仕える|つかえる|亻, 士|служить, прислуживать|to serve, to attend, to work for|служити, бити у служби|Простой человек (亻) служит знатному рыцарю (士).|A simple person (亻) serves to a noble knight (士).|Обичан човек (亻) служи племићком витезу (士).|亻 は高貴な士 に仕える。
仕事|しごと|仕, 事|работа, дело, служба|work, job, task|посао, рад, дужност|Служить (仕), выполняя дела (事) — вот и работа.|Serving (仕) by handling things (事) — that’s work.|Служити (仕) и бавити се стварима (事) — то је посао.|仕 (つか) えて事 (こと) をこなす、それが仕事。
余る, 余り,|あまる, あまり||избыток, лишнее, оставаться|surplus, extra, remain|вишак, сувишно, остати|Под крышей — избыток деревянных балок. Остались лишние.|There is a surplus of wooden beams supporting the roof — more than needed.|Под кровом — вишак дрвених греда. Више него што треба.|屋根を支える梁が多すぎて、余っている。
因る|よる|囗, 大|быть вызванным, зависеть от, потому что|to be caused by, to depend on, the cause|бити узроковано, зависити од|Мужчина не может пройти в проём (囗), потому что руки раскинуты слишком широко.|A man can’t fit through the entrance (囗), the cause is that his arms are spreaded too wide.|Човек не може да прође кроз улаз (囗), јер су му руке превише раширене.|入り口 (囗) を通れないのは、腕 (大) を広げすぎたのが原因。
